  4336,    20,   733,  4397,  2452, 14728, 16424, 22196
  4336,   464,   539,  4393,  2748, 14748, 16512, 22309
  4320,   362,   483,  4361,  2372, 14648, 16464, 22164
  4336,   217,   497,  4369,  2212, 14676, 16460, 22163
  4320,   256,   465,  4352,  2540, 14752, 16368, 22180
  4336,   239,   442,  4365,  2764, 14768, 16436, 22268
  4304,  1089,  1061,  4564,  2528, 14836, 16512, 22341
  4320,   912,   932,  4512,  2216, 15904, 16444, 22983
  4320,    27,   640,  4367,  2444, 15124, 16104, 22227
  4320,  4606,   350,  6324,  2372, 15276, 16268, 22441
  4304,    83,   306,  4315,  2312, 14792, 17536, 23057
  4320,  2859,  1850,  5500,  3104, 14704, 16332, 22194
  4288,   122,   454,  4313,  2888, 15216, 15768, 22101
  4288,   204,   260,  4300,  2284, 15116, 16640, 22596
  4320,  1152,   447,  4493,  3632, 13676, 15508, 20993
  4320,  3358,  1299,  5623,  2224, 14832, 17276, 22877
  4304,  3494,  1722,  5804,  2756, 14504, 16904, 22443
  4304,   675,  1615,  4646,  3516, 14880, 15956, 22099
  4320,  1228,   116,  4492,  3024, 15096, 16184, 22337
  4336,   922,   946,  4532,  2856, 15028, 15952, 22101
  4288,  6872,  2706,  8540,  2204, 14860, 16872, 22590
  4272,   178,   824,  4354,  2372, 13892, 18092, 22933
  4320,  2958,  2446,  5778,  5068, 12800, 16004, 21110
  4304,  1597,  2257,  5115,  2956, 14876, 16848, 22669
  4320,   600,   233,  4367,  3104, 14796, 16424, 22322
  4336,   828,   635,  4459,  4188, 13320, 15548, 20897
  4320,  4860,  1322,  6635,  3428, 14016, 16512, 21928
  4304,  2163,   429,  4836,  3372, 14168, 17136, 22488
  4320,   993,  1384,  4643,  4452, 13048, 16236, 21299
  4352,   353,   997,  4478,  3008, 15288, 16608, 22772
  4352,  2989,  1408,  5464,  3056, 14596, 17576, 23049
  4304,  1750,  1618,  4919,  3848, 14328, 15668, 21577
  4336,  4174,  1422,  6184,  3336, 14656, 16344, 22204
  4304,  2937,     9,  5210,  3344, 15412, 16848, 23077
  4288,  3115,  1604,  5537,  3244, 13724, 17100, 22164
  4304,  1356,   575,  4549,  3764, 13916, 16168, 21661
  4320,   303,   887,  4420,  3772, 14492, 15780, 21754
  4304,  3261,  1955,  5742,  3196, 14640, 16496, 22285
  4288,  2260,   180,  4850,  2540, 15548, 16736, 22984
  4336,   689,  1217,  4555,  2248, 15384, 17064, 23084
  4288,   491,   181,  4319,  3656, 14588, 16072, 22011
  4336,   197,   652,  4389,  3256, 14644, 16620, 22389
  4304,  1164,   251,  4465,  3536, 14208, 16320, 21925
  4304,   879,   450,  4415,  4804, 11640, 16100, 20439
  4320,  2024,   478,  4794,  3236, 14152, 16712, 22136
  4304,  3693,  1079,  5772,  4348, 13368, 16088, 21364
  4288,  1725,   369,  4636,  2184, 13748, 18684, 23299
  4336,  1249,   600,  4552,  3048, 14764, 17540, 23128
  4288,    41,   996,  4402,  4644, 13304, 16956, 22046
  4288,  1594,  2152,  5055,  4048, 13936, 16496, 21970
  4304,  2241,  1796,  5174,  2320, 14488, 15956, 21676
  4320,   560,   382,  4372,  3176, 14312, 16604, 22149
  4288,  5754,   932,  7236,  4988, 12344, 15572, 20487
  4304,  1507,   529,  4590,  3520, 14488, 17548, 23026
  4320,   804,   823,  4470,  4716, 13044, 16668, 21684
  4304,  2256,  2613,  5517,  5188, 13052, 16288, 21507
  4336,  1747,  1837,  5022,  5020, 13204, 15632, 21069
  4336,  1116,  1311,  4665,  3608, 14396, 16156, 21938
  4288,  3818,   349,  5752,  6748, 10788, 13656, 18665
  4256,  2923,  1158,  5291,  3020, 15492, 17328, 23438
  4304,  1081,   677,  4489,  4244, 14512, 15964, 21987
  4320,   270,   485,  4355,  4324, 14188, 15540, 21482
  4256,   285,   589,  4306,  3576, 14240, 16440, 22041
  4304,  1189,   790,  4534,  3692, 14556, 16240, 22118
  4304,  5415,   609,  6943,  3656, 14824, 16612, 22562
  4304,  1380,   276,  4528,  2736, 15828, 17980, 24109
  4256,  3815,   533,  5740,  4876, 12784, 16736, 21617
  4288,  1164,  1504,  4690,  4124, 13632, 16628, 21893
  4288,   928,  1319,  4581,  3484, 14252, 16556, 22121
  4320,  1666,   473,  4654,  5852, 11888, 14596, 19713
  4272,  7467,  2646,  9000,  3548, 15108, 17032, 23041
  4288,   120,   496,  4318,  3904, 13492, 17704, 22598
  4272,  2874,  1167,  5279,  5436, 13124, 15772, 21226
  4288,  1556,  1188,  4713,  4104, 13368, 16732, 21806
  4272,  2662,  1077,  5147,  4256, 14836, 15820, 22101
  4272,  3088,   124,  5272,  2712, 15384, 16396, 22646
  4288,   108,   350,  4303,  3608, 14860, 16908, 22797
  4288,   263,   424,  4316,  4224, 14088, 16180, 21865
  4256,  2200,  1699,  5083,  3392, 14760, 16972, 22746
  4304,   659,   584,  4393,  4964, 13832, 15388, 21278
  4288,  2620,   988,  5121,  3444, 13880, 16736, 22013
  4304,  8283,  5036, 10606,  2672, 14524, 17316, 22758
  4288, 12787,  6884, 15142,  3300, 15512, 16828, 23123
  4288,   438,-32768,-32486,  2260, 13192, 16148, 20973
  4304,  5082, 15212, 16605, 18712, 26952,  3312,-32559
  4288,  6517, 14989, 16897,  1372, 12664, 13044, 18231
  4272,  7229,  6065, 10358,   260, 13088, 14188, 19304
  4288,   176,  3377,  5460,   408, 13964, 19520, 24003
  4288,  4562, 25514, 26270,  3960, 17272, 11148, 20935
  4304,   366,  5522,  7010,   888, 16456, 17932, 24354
  4304, 19497,    52, 19966,     8,  9668, 16892, 19463
  4336, 21820,  3157, 22469,   304, 14792, 18532, 23713
  4272,  6523,   257,  7801,  5376, 17172, 16612, 24489
  4288,  8788,  3910, 10531,  3752, 18060, 15880, 24339
  4304,  9133,  6910, 12234,  2368, 14700, 16288, 22067
  4240, 17199, 13971, 22560,   220, 11252, 15312, 19002
  4320,  2771,  5916,  7831,   152,  7944, 19568, 21119
  4336,  4036,  2782,  6544,   292,  9788, 22236, 24296
  4304,  2101,  5350,  7180,   568,  8492, 26248, 27593
  4304, 16341, 17523, 24343,  6400,  9452, 12704, 17078
  4288,  5769,-32768,-31989, 18884,  7388, 14376, 24856
  4288,  6352,-32768,-31884, 10768,  2052,  1900, 11125
  4336, 32767, 23091,-25217,  5152,  2892,  3304,  6769
  4304, 10164,   121, 11038,  1920,  3368,  8660,  9488
  4288,   835,  1057,  4494,  1936,  5936, 14356, 15654
  4304,   511,   247,  4341,  1652,  6208, 13968, 15374
  4320,   952,   352,  4437,  1884,  5796, 14076, 15338
  4288,   242,   673,  4347,  2016,  6092, 13984, 15385
  4288,   266,   605,  4338,  1796,  6048, 13808, 15181